集数,功能,模块,时长秒,视频文件,字幕文件,演示范围说明
01,找到自己任教的班级,基础操作,31.21,视频/第01集_找到自己任教的班级.mp4,字幕/第01集_字幕.srt,
02,连着上课怎么切换班级,基础操作,25.21,视频/第02集_连着上课怎么切换班级.mp4,字幕/第02集_字幕.srt,
03,怎么返回课堂首页,基础操作,27.5,视频/第03集_怎么返回课堂首页.mp4,字幕/第03集_字幕.srt,
04,切换今天近一周近一月,基础操作,29.21,视频/第04集_切换今天近一周近一月.mp4,字幕/第04集_字幕.srt,
05,查找学生档案,基础操作,26.29,视频/第05集_查找学生档案.mp4,字幕/第05集_字幕.srt,
06,区分暂无数据和加载失败,基础操作,31.02,视频/第06集_区分暂无数据和加载失败.mp4,字幕/第06集_字幕.srt,
07,找到本班人脸录入入口,人脸录入,25.04,视频/第07集_找到本班人脸录入入口.mp4,字幕/第07集_字幕.srt,
08,找出本班未录人脸学生,人脸录入,30.56,视频/第08集_找出本班未录人脸学生.mp4,字幕/第08集_字幕.srt,
09,选择注册站并查看配对码,人脸录入,29.12,视频/第09集_选择注册站并查看配对码.mp4,字幕/第09集_字幕.srt,手机端选择注册站、生成配对码已实测；一体机屏幕输入和确认按App弹窗指引讲解，未展示现场配对成功画面。
10,组织学生逐个录入人脸,人脸录入,30.68,视频/第10集_组织学生逐个录入人脸.mp4,字幕/第10集_字幕.srt,使用实测手机注册中和停止注册页面；现场排队采集依据App提示讲解，未拍摄学生或演示新采集成功。
11,用手机给单个学生补录,人脸录入,30.72,视频/第11集_用手机给单个学生补录.mp4,字幕/第11集_字幕.srt,真实进入未录学生手机拍摄页后取消；未采集或保存新照片。保存按钮及已录状态用于位置/样式说明，视频明确标注，不声称该学生本轮已录成功。
12,核对已录状态和剩余名单,人脸录入,30.18,视频/第12集_核对已录状态和剩余名单.mp4,字幕/第12集_字幕.srt,已录画面为本班已有记录，用于说明状态，不声称本轮新拍摄成功；现场设备识别未执行。
13,给已录学生重新补拍人脸,人脸录入,30.43,视频/第13集_给已录学生重新补拍人脸.mp4,字幕/第13集_字幕.srt,已实际打开已录学生编辑及重新拍照入口，随后取消；未更改已有人脸照片。保存和现场识别为操作指引，未展示或声称实际重拍成功。
14,查看今日训练方案,课前备课,25.29,视频/第14集_查看今日训练方案.mp4,字幕/第14集_字幕.srt,
15,查看动作玩法和注意事项,课前备课,26.14,视频/第15集_查看动作玩法和注意事项.mp4,字幕/第15集_字幕.srt,
16,替换方案中的一个动作,课前备课,27.29,视频/第16集_替换方案中的一个动作.mp4,字幕/第16集_字幕.srt,
17,调整训练目标为协调,课前备课,26.18,视频/第17集_调整训练目标为协调.mp4,字幕/第17集_字幕.srt,
18,选择篮球主题和教案侧重,课前备课,27.58,视频/第18集_选择篮球主题和教案侧重.mp4,字幕/第18集_字幕.srt,
19,调整训练方案时长,课前备课,28.39,视频/第19集_调整训练方案时长.mp4,字幕/第19集_字幕.srt,
20,确认方案并采纳教案,课前备课,27.96,视频/第20集_确认方案并采纳教案.mp4,字幕/第20集_字幕.srt,
21,找到收整放松活动,课前备课,27.08,视频/第21集_找到收整放松活动.mp4,字幕/第21集_字幕.srt,
22,查看未参与运动的学生,课中组织,31.88,视频/第22集_查看未参与运动的学生.mp4,字幕/第22集_字幕.srt,当前示例班级全部显示运动中；未参与颜色使用App真实图例讲解，个人卡片为运动中学生示例，未伪造灰色学生。
23,读懂班级态势墙颜色,课中组织,30.6,视频/第23集_读懂班级态势墙颜色.mp4,字幕/第23集_字幕.srt,
24,标记和撤销今日请假,课中组织,30.92,视频/第24集_标记和撤销今日请假.mp4,字幕/第24集_字幕.srt,标记后已立即撤销，并重新打开卡片验证恢复；没有把请假后的运动统计口径变化作为已验证功能讲解。
25,为50米选择跑道场地,课中组织,27.5,视频/第25集_为50米选择跑道场地.mp4,字幕/第25集_字幕.srt,
26,选择一组学生并找到开始入口,课中组织,29.0,视频/第26集_选择一组学生并找到开始入口.mp4,字幕/第26集_字幕.srt,已实测选场地、选两名学生以及开始按钮可用，随后取消选人；未点击开始或发出设备命令。视频明确说明仅演示开始入口。
27,查看50米完成情况和成绩区域,课中组织,29.88,视频/第27集_查看50米完成情况和成绩区域.mp4,字幕/第27集_字幕.srt,真实页面当前没有50米成绩；演示完成计数、成绩区域及排序入口，未生成或替换虚构成绩，未验证现场结果上传。
28,核对50米未测名单,课中组织,27.46,视频/第28集_核对50米未测名单.mp4,字幕/第28集_字幕.srt,
29,找到中长跑分波入口,课中组织,30.13,视频/第29集_找到中长跑分波入口.mp4,字幕/第29集_字幕.srt,手机分波入口、当前波次、完成计数和未测名单已查看；没有触发放一波，现场发令、计时与波次推进未执行。
30,查看仰卧起坐项目完成情况,课中组织,29.75,视频/第30集_查看仰卧起坐项目完成情况.mp4,字幕/第30集_字幕.srt,仰卧起坐真实页面当前为0/50、无成绩；展示入口、排序和未测名单，未进行现场动作测试或伪造完成结果。
31,阳光跑记录_在哪里看,课中组织,26.13,视频/第31集_阳光跑记录_在哪里看.mp4,字幕/第31集_字幕.srt,阳光跑页面当前无成绩；演示入口与完成记录查看，不把零记录等同未参与。
32,今天的考核计划_在哪里,正式考核,25.33,视频/第32集_今天的考核计划_在哪里.mp4,字幕/第32集_字幕.srt,
33,怎样新建一次班级考核,正式考核,26.88,视频/第33集_怎样新建一次班级考核.mp4,字幕/第33集_字幕.srt,仅演示真实创建表单与核对步骤；未新建正式考核，创建后的列表核验为操作指引。
34,考核类型_怎么选,正式考核,26.92,视频/第34集_考核类型_怎么选.mp4,字幕/第34集_字幕.srt,
35,多个班一起测_怎么选,正式考核,25.12,视频/第35集_多个班一起测_怎么选.mp4,字幕/第35集_字幕.srt,
36,考核日期_在哪里设置,正式考核,25.71,视频/第36集_考核日期_在哪里设置.mp4,字幕/第36集_字幕.srt,
37,开考前_怎样核对名单,正式考核,27.29,视频/第37集_开考前_怎样核对名单.mp4,字幕/第37集_字幕.srt,
38,考核学生_怎样分组,正式考核,24.92,视频/第38集_考核学生_怎样分组.mp4,字幕/第38集_字幕.srt,展示已有分组与分组控件，未重排真实考核名单。
39,学生就位_怎样开始考核,正式考核,27.76,视频/第39集_学生就位_怎样开始考核.mp4,字幕/第39集_字幕.srt,未点击开始考核、未换组或发送设备指令；依据已有分组页讲解现场核对顺序。
40,未测、缺考等状态_怎么看,正式考核,26.56,视频/第40集_未测、缺考等状态_怎么看.mp4,字幕/第40集_字幕.srt,已验证未测和已测筛选；其他状态仅确认汇总显示，不虚构缺考、免测或异常的独立筛选/修改入口。
